name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
Dime SkateShop,Mo-We 11:00-18:00; Th-Fr 11:00-21:00; Sa-Su 11:00- 17:00,,,Retail,,,,,,POINT (-73.57326500000001 45.5140878)
Sarah B. Bar Absinthe,Mo-Su 14:00-00:30,bar,,,,,,,,POINT (-73.56036690000001 45.5028739)
Boucherie Westmount,"Mo 10:30-18:30,Tu-We 09:00-18:30,Th-Fr 09:00-19:30,Sa 09:00-18:00,Su 10:00-17:00",,,butcher,,,,,,POINT (-73.60806580000001 45.475215)
Quai No. 4,"Mo,Tu 16:00-01:00; We-Fr 16:00-03:00; Sa,Su 10:00-15:00,16:00-03:00",restaurant,,,,,,,,POINT (-73.57531969999999 45.5470477)
Les Sans-Taverne: Coop et Brasserie Artisanale,Tu-Fr 11:00-13:00; Sa-Su 13:00-01:00,,,,,,,brewery,,POINT (-73.552387 45.4809344)
Épicerie Le Détour,Tu-Sa 11:00-19:00; Su 9:00-18:00,,,convenience,,,,,,POINT (-73.5525131 45.4809833)
Cycle 7 Coop,We 12:00-18:00; Th-Fr 12:00-20:00; Sa-Su 10:00-17:00,,,bicycle,,,,,,POINT (-73.55240310000001 45.4811018)
Annuaire Agenda Familial L.B.Inc,Mo-Th 09:00-18:00,,,,,,,,,POINT (-73.44789919999999 45.5763506)
Centre de design de l'UQAM,We-Su 12:00-18:00,,museum,,,,,,,POINT (-73.5620656 45.5129552)
Restaurant chez Grégoire,Mo-Su 08:00-23:00,fast_food,,,,,,,,POINT (-73.7478227 45.307155)
Café Zézin,Mo-Su 09:00-17:00,cafe,,,,,,,,POINT (-73.60310200000001 45.5525415)
Tri Express,"Tu,We 11:00-21:00; Th,Fr 11:00-22:00; Sa,Su 16:00-22:00",restaurant,,,,,,,,POINT (-73.5818132 45.5353469)
Centre de don Renaissance,Mo-Su 08:00-18:00,,,charity,,,,,,POINT (-73.60737899999999 45.5219057)
Engaufrez-vous,We-Su 09:00-16:30,restaurant,,,,,,,,POINT (-73.5813002 45.5182325)
Studios-Unis Ste-Dorothée,Tu off  Th off  Mo-Fr17h30-21h30  Sa9h00-12h30,dojo,,,,,karate;boxing;kickboxing;exercise;martial_arts,,,POINT (-73.79224139999999 45.5220318)
Club de Kendo Ayame,Tu 20:00-22:00; Fr 20:00-22:00,,,,,sports_centre,kendo,,,POINT (-73.6298827 45.5319967)
Birra,Mo-We 15:00-01:00; Th 15:00-02:00; Fr 15:00-03:00; Sa 14:00-03:00; Su 14:00-01:00,pub,,,,,,,,POINT (-73.617344 45.5343831)
Jimi's Music Store,"Mo-We 10:00-18:00, Th-Fr 10:00-21:00, Sa 10:00-17:00, Su closed",,,musical_instrument,,,,,,POINT (-73.61665669999999 45.4699327)
Strokes,"Mo-We 10:00-18:00; Th,Fr 10:00-21:00; Sa 10:00-18:15; Su 11:00-17:00",,,houseware,,,,,,POINT (-73.5794294 45.522215)
Café Coop Touski,Mo-Fr 08:00-21:00; Sa 09:00-21:00; Su 09:00-16:00,cafe,,,,,,,,POINT (-73.5474705 45.5281565)
AVIS,Mo-We 07:00-18:00;Th-Fr 07:00-19:00;Sa 07:00-16:00;Su 09:00-16:00,car_rental,,,,,,,,POINT (-73.5760745 45.4924038)
Fruiterie Mont-Carmel,Sa-We 08:00-20:00; Th-Fr 08:00-21:00,,,supermarket,,,,,,POINT (-73.62886949999999 45.4843551)
Pekin Garden,"Mo-Th 11:00-22:00,Fr 11:00-22:30,Sa-Su 11:30-22:30",restaurant,,,,,,,,POINT (-73.6289503 45.4842571)
Café Pino,Mo-Sa 00:00-24:00,cafe,,,,,,,,POINT (-73.6358685 45.5943146)
Tandoori Masson,"Tu-Sa 11:30-15:00,17:00-22:00; Su 16:00-22:00",restaurant,,,,,,,,POINT (-73.5743263 45.5487654)
Moût International,"Mo-Fr 08:00-17:00, Sa 08:30-13:00",,,brewing_supplies,,,,,,POINT (-73.5620145 45.6107405)
Nutrizone,"Mo-We 10:00-19:00, Th-Fr 10:00-20:00, Sa 11:00-17:00",,,yes,,,,,,POINT (-73.54683989999999 45.554981)
MKRLAB,Mo off; Tu-We 15:00-20:00; Th-Fr 15:00-21:00; Sa-Su 10:00-18:00,,,,,hackerspace,,,,POINT (-73.6179671 45.4696525)
Pâtisserie Bela Vista,,cafe,,,,,,,,POINT (-73.5959143 45.5429709)
Myst Coiffure,"Tu-We 09:30-18:00, Th-Fr 09:30-20:00, Sa 08:00-17:00",,,hairdresser,,,,,,POINT (-73.60177109999999 45.5485575)
Batö Thaï,"Mo,Tu 11:00-15:00,17:00-21:00; We,Th 11:00-15:00,17:00-22:00; Fr 11:00-15:00,17:00-23:00; Sa 17:00-23:00; Su 17:00-22:00",restaurant,,,,,,,,POINT (-73.55243160000001 45.5222814)
Clinique OPUS,Mo-Fr 08:00-16:00,,,,centre,,,,,POINT (-73.5742819 45.5004984)
Canada Fighting,Mo-We 12:00-17:00,,,sports,,,,,,POINT (-73.6012581 45.5491373)
Me Jean J. Brossard,Mo-Th 09:00-17:00,,,,,,,,,POINT (-73.6012174 45.5492057)
Homier Luminaire,"Mo-Fr 09:00-18:00, Sa 09:00-17:00, Su 12:00-17:00",,,interior_decoration,,,,,,POINT (-73.6009674 45.5490171)
Mollo Café,Mo-Fr 07:00-19:00; Sa-Su 08:00-18:00,cafe,,,,,,,,POINT (-73.55921069999999 45.4784049)
Aiguisage,Mo-Fr 08:30-17:00,,,yes,,,,,,POINT (-73.54125000000001 45.5560377)
,24/7,atm,,,,,,,,POINT (-73.5577711 45.492358)
,24/7,atm,,,,,,,,POINT (-73.5127232 45.7122498)
,Mo-Fr 08:00-19:00,atm,,,,,,,,POINT (-73.5618145 45.5060358)
,Mo-Su 09:00-21:00,atm,,,,,,,,POINT (-73.57273120000001 45.51415)
,24/7,atm,,,,,,,,POINT (-73.84791370000001 45.4326664)
Atelier-Librairie Le livre voyageur,"Mo-We 11:00-18:00, Sa 11:00-17:00, Su 12:00-17:00",,,books,,,,,,POINT (-73.5999901 45.5506451)
CollegeMEGA,Mo-Su 09:00-18:00,language_school,,,,,,,,POINT (-73.5728495 45.4987613)
Thai Sep,Mo-Sa 16:00-21:30,restaurant,,,,,,,,POINT (-73.6062441 45.5487596)
Librairie du Square - Outremont,Mo-Fr 10:00-19:00; Sa 10:00-17:00; Su 12:00-17:00,,,books,,,,,,POINT (-73.60717 45.5221425)
Pâtisserie Petit Lapin,Tu-Fr 11:00-19:00; Sa-Su 11:00-17:00,,,bakery,,,,,,POINT (-73.6070639 45.5222659)
Adja Coiffure,"Mo-We, Sa 09:30-18:00; Th, Fr 09:30-21:00; Su 10:00-18:00",,,hairdresser,,,,,,POINT (-73.6281353 45.4845989)
Daoust Nettoyeurs Écoperformants,Mo-Th 07:00-19:00; Fr 07:00-20:00; Sa 08:00-17:00; Su off,,,dry_cleaning,,,,,,POINT (-73.6497423 45.4974634)
Pub BreWskey (Microbrewery),Mo-Su 11:30-03:00,,attraction,,,,,,,POINT (-73.5516034 45.5090535)
Marcher Toit Rouge,Mo-We 08:00-19:00; Sa-Su 08:00-18:00; Th-Fr 08:00-21:00,,,greengrocer,,,,,,POINT (-73.4615141 45.7464297)
La Tamalera,Tu-Fr 11:00-21:00; Sa 11:00-17:00; Su 11:00-16:00,restaurant,,,,,,,,POINT (-73.5967553 45.521251)
tresnormale,"Mo-We, Sa 11:30-18:00; Th-Fr 11:30-20:00; Su 11:30-17:00",,,clothes,,,,,,POINT (-73.59701870000001 45.521348)
MEEST EXPRESS,Mo-Sa 00:00-24:00,post_office,,,,,,,,POINT (-73.59754359999999 45.5531151)
Autodesk,Mo-Fr 09:00-17:00,,,,,,,,,POINT (-73.5573246 45.4929173)
,Mo-Su 13:00-22:00,toilets,,,,,,,,POINT (-73.6313492 45.4698587)
Cuisimax,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,,,kitchen,,,,,,POINT (-73.7396952 45.5841757)
Cuisimax,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,,,kitchen,,,,,,POINT (-73.4749601 45.4920117)
,Mo-Su 10:00-18:00,toilets,,,,,,,,POINT (-73.62901290000001 45.6064152)
Toyota Gabriel Centre-Ville,Mo-Th 7:30-21:00; Fr 7:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.58239589999999 45.4908751)
Le Flamant,"We,Th 18:00-22:00; Fr 18:00-24:00; Sa 00:00-01:00,18:00-24:00; Su 00:00-01:00",restaurant,,,,,,,,POINT (-73.54168319999999 45.549922)
FOU D'ICi,Mo-Sa 08:00-20:00,,,supermarket,,,,,,POINT (-73.5688858 45.5069118)
Café GH,Mo-Su 06:00-19:00,cafe,,,,,,,,POINT (-73.5583383 45.492376)
Allons Vert,Mo-Fr 10:00-18:00,,,supermarket,,,,,,POINT (-73.5627262 45.4923426)
Vélo Urbain,"Mo-Fr 09:00-19:00; Sa,Su 10:00-17:00",,,bicycle,,,,,,POINT (-73.57379419999999 45.5327403)
Le Cornélien,Mo-Su 08:00-18:00,,,,,,,,,POINT (-73.6084317 45.5354093)
Clinique dentaire Beaver Hall,Tu-Th 09:00-18:00; Fr 09:00-15:00,dentist,,,dentist,,,,,POINT (-73.5648365 45.502587)
Dyad,10:00-18:00,,,bicycle,,,,,,POINT (-73.57174569999999 45.5146821)
Dyad,Mo-Su 10:00-18:00,,,"bicycle,_scooter,_rentals",,,,,,POINT (-73.609787 45.5300902)
100% Jeux,"Mo-Fr 09:00-21:00; Sa,Su 10:00-17:00",,,video_games,,,,,,POINT (-73.51134 45.5216105)
SAQ Classique,Mo-We 12:00-19:00; Th-Sa 11:00-21:00; Su 12:00-18:00,,,alcohol,,,,,,POINT (-73.5224015 45.5249385)
Florence,Mo-Fr 08:00-18:00; Sa-Su 06:00-18:00,cafe,,,,,,,,POINT (-73.5678717 45.4795311)
Ciel Bleu,24/7,restaurant,,,,,,,,POINT (-73.7140586 45.5490512)
Avant-Garde artisans brasseurs,Mo-Tu 15:00-23:00; We 15:00-00:00; Th-Sa 12:00-01:00; Su 12:00-23:00,pub,,,,,,,,POINT (-73.5389656 45.5666625)
Decathlon,Mo-Fr 10:00-21:00; Sa 09:00-18:00; Su 11:00-17:00,,,sports,,,,,,POINT (-73.5706461 45.5025773)
Café Éclair,Mo-Su 08:00-18:00,,,books,,,,,,POINT (-73.59553579999999 45.5246537)
Café Éclair,Mo-Su 08:00-18:00,cafe,,,,,,,,POINT (-73.59553990000001 45.5246486)
Arumee dog boarding,24/7,animal_boarding,,,,,,,,POINT (-73.5541351 45.5137377)
P.F. Changs,Sa 00:00-12:00; Su 00:00-21:30; Mo 11:30-22:00; Tu 11:30-22:00; We 11:30-22:00; Th 11:30-23:00; Fr 11:30-12:00,restaurant,,,,,,,,POINT (-73.7539379 45.5721974)
Ombelle Fleuriste,"Mo-We 09:30-18:00; Th,Fr 09:30-19:00; Sa 10:00-17:00; Su 10:00-16:00",,,florist,,,,,,POINT (-73.29165570000001 45.5287642)
El Furniture Warehouse,Mo-Su 11:00-03:00,bar,,,,,,,,POINT (-73.5721011 45.5139082)
Mae Sri Thai,"Mo-Su 11:30-14:30, 17:00-23:00",restaurant,,,,,,,,POINT (-73.5726866 45.5104122)
Station de réparations de vélos,24/7,bicycle_repair_station,,bicycle,,,,,,POINT (-73.8963341 45.5378061)
Station de réparations de vélos,24/7,bicycle_repair_station,,bicycle,,,,,,POINT (-73.7609822 45.4400695)
Sacré Fut,"Th-Sa 16:00-03:00, Su 16:00-01:00, Tu-We 16:00-02:00",bar,,,,,,,,POINT (-73.6579954 45.5603524)
Escadron 757,Sa 00:00-00:00,community_centre,,,,,,,,POINT (-73.60431509999999 45.7483977)
Uniprix,Mo-Fr 09:00-20:30; Sa 09:00-17:00; Su 10:00-17:00,pharmacy,,,pharmacy,,,,,POINT (-73.75781000000001 45.538098)
Canada Computer,Mo-We 09:30-19:00; Th-Fr 09:30-21:00; Sa 9:00-17:00; Su10:00-17:00,,,computer,,,,,,POINT (-73.7303326 45.5674569)
Créations Créme de la Crème,Tu-We 10:30-18:00; Th-Fr 10:30-19:00; Sa 10:00-17:00; Su 12:00-16:00,,,fashion_accessories,,,,,,POINT (-73.7589593 45.5378099)
Christinas Cuisine,Mo-Th 11:00-21:00; Fr 11:00-22:00; Sa 12:00-22:00; Su 12:00-21:00,restaurant,,,,,,,,POINT (-73.7585259 45.5379571)
Ongles Goddess,Mo-We 9:30-18:00; Th-Fr 9:30-19:00; Sa 9:30-17:00,,,beauty,,,,,,POINT (-73.758377 45.5379864)
Créations Georganni,Tu-We 10:00-18:00; Th-Fr 10:00-20:00; Sa 10:00-17:00,,,jewelry,,,,,,POINT (-73.7581406 45.5380329)
The Refugee Centre,Mo-Fr 10:00-17:00,,,,,,,,,POINT (-73.5784548 45.4942749)
Dépanneur Mini-Coût,Mo-Su 06:00-22:00,,,convenience,,,,,,POINT (-73.6461736 45.4530141)
Burger de Ville,Mo-Su 11:00-21:00,restaurant,,,,,,,,POINT (-73.64589700000001 45.4533088)
RBC,"Mo-We 9:30-17:00, Th 9:30-20:00, Fr 9:30-17:00, Sa 9:00-16:00, Su off",bank,,,,,,,,POINT (-73.64550029999999 45.4527708)
Sonik Records,"Mo-Tu 12:00--18:00, We 09:00-18:00, Tu-Fr 12:00-21:00, Sa-Su 12:00-17:00",,,music,,,,,,POINT (-73.5751131 45.521735)
Liquidation Électroménagers Longueuil,Mo-We 10:00-18:00; Th-Fr 10:00-21:00; Sa-Su 10:00-17:00,,,appliance,,,,,,POINT (-73.442485 45.5134401)
Le Toasteur,Mo-Fr 7:00-14:00; Sa-Su 7:00-15:00,restaurant,,,,,,,,POINT (-73.6212848 45.5441089)
Patisserie Raffin,Tu-We 08:00-19:00; Th-Fr 08:00-20:00; Sa 08:00-18:00; Su 08:00-17:00,,,bakery,,,,,,POINT (-73.7463626 45.6211299)
Premium Bodyshop,"Mo-Fr 09:00-18:00,Sa 10:00-15:00",,,beauty,,,,,,POINT (-73.6394605 45.4480814)
Audi Anjou,Mo-Fr 07:00-21:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.57151709999999 45.5998792)
Mazda Gabriel Anjou,Mo-Fr 7:30-21:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.5984545 45.6127014)
Hyundai Gabriel Anjou,Mo-Th 7:00-21:00; Fr 7:00-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.6008765 45.6125497)
Honda Gabriel,Mo-Th 7:30-21:00; Fr 7:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.6082885 45.6101055)
Kia Gabriel Nord,Mo-Th 7:00-21:00; Fr 7:00-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.609464 45.6096304)
Nissan Gabriel Anjou,Mo-Fr 7:30-21:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.6015589 45.6122825)
Hyundai Gabriel Ouest,Mo-Th 7:30-21:00; Fr 7:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.851524 45.4902191)
Audi West-Island,Mo-Th 7:30-21:00; Fr 7:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.8482735 45.4856418)
Café Chato,Mo-Fr 07:00-19:00; Sa 09:00-18:00; Su 09:00-17:00,cafe,,,,,,,,POINT (-73.5720367 45.4571495)
Maison de Thé Cha Noir,"Mo-Fr 11:00-21:30; Sa, Su 10:00-21:30",cafe,,tea,,,,,,POINT (-73.5676003 45.4582795)
Banco,Mo-Fr 9:30-21:00; Sa-Su 10:00-17:00,,,pawnbroker,,,,,,POINT (-73.58219819999999 45.578524)
Nissan Gabriel Saint-Léonard,Mo-Th 07:30-21:00; Fr 07:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.59650449999999 45.5724839)
Komomo by Sushi Momo,We-Su 14:00-21:00,restaurant,,,,,,,,POINT (-73.569346 45.5180121)
Lincoln Gabriel,Mo-Th 7:30-21:00; Fr 7:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.63088 45.4552909)
Ford Gabriel,Mo-Th 7:30-21:00; Fr 7:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.63056539999999 45.4552074)
Nissan Gabriel Saint-Jacques,Mo-Th 7:30-21:00; Fr 7:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.6303058 45.4558544)
Orangetheory Fitness,Mo-Fr 5:15-21:30; Sa-Su 8:00-14:00,,,,,fitness_centre,,,,POINT (-73.559028 45.4943016)
Dépanneur Bob,Mo-Su 08:00-23:00,,,convenience,,,,,,POINT (-73.6027596 45.5564004)
Intermarché,Mo-Sa 08:00-22:00; Su 09:00-22:00,,,supermarket,,,,,,POINT (-73.5858106 45.5211331)
Provigo,Mo-Su 08:00-23:00,,,supermarket,,,,,,POINT (-73.586727 45.5190764)
Station 16 Print Shop,Mo-Fr 09:00-17:00,,,copyshop,,,,,,POINT (-73.6608528 45.5394197)
Hyundai Gabriel St-Jacques,Mo-Th 07:30-09:00; Fr 07:30-18:00; Sa 10:00-16:00; Su off,,,car,,,,,,POINT (-73.6222752 45.4626604)
Nissan Gabriel Plateau,Mo-Th 7:30-21:00; Fr 7:30-18:00; Sa 10:00-16:00,,,car,,,,,,POINT (-73.5713732 45.5404019)
SOS Infirmiere Inc,24/7,,,,,,,,,POINT (-73.7215186 45.5960278)
Petro-Canada,"Mo-Su,PH 00:00-24:00",fuel,,,,,,,,POINT (-73.5718767 45.4528036)
La récréation,"Mo-Tu, Th 09:00-22:00; We, Fr 09:00-00:00; Sa 12:00-00:00; Su 12:00-20:00",bar,,,,,,,,POINT (-73.5650479 45.5160245)
Association culturelle chaouie du Québec,Mo-Sa 08:00-18:00,,,,,,,,,POINT (-73.62813730000001 45.4845332)
,business hours,,,,,,,,,POINT (-73.9083795 45.6764167)
Entre nous & l'oeuf,Mo-Fr 06:00-15:00; Sa-Su 07:00-15:00,restaurant,,,,,,,,POINT (-73.9314463 45.533742)
PROMIS,Mo-Fr 09:00-17:00,,,,,,,,,POINT (-73.62617849999999 45.500573)
Simons,Mo-We:10:00-18:00; Th-Fr:10:00-21:00; Sa:09:00-17:00; Su:11:00-17:00,,,clothes,,,,,,POINT (-73.3785089 45.506828)
Simons,Mo-We:10:00-18:00; Th-Fr:10:00-21:00; Sa:09:00-17:00; Su:11:00-17:00,shop|clothes,,,,,,,,POINT (-73.7495121 45.5709896)
Simons,Mo-Fr:10:00-21:00; Sa:09:00-17:00; Su:10:00-17:00,shop|clothes,,,,,,,,POINT (-73.5651307 45.6022986)
igenClinique,Mo-Sa 10:30-18:00; Su 11:00-17:00,,,,,,,electronics_repair,,POINT (-73.5790634 45.5636063)
Pharmacie Sébastien Lacroix,Mo-Fr 09:00-20:00; Sa 09:00-17:00; Su 10:00-16:00,pharmacy,,,,,,,,POINT (-73.6073583 45.5316172)
BRCC Aréna Hartland-Monahan,24/7,charging_station,,,,,,,,POINT (-73.8650181 45.5477234)
Le Central,"Mo-We 08:00-21:00, Th-Sa 08:00-23:00, Su 08:00-20:00",restaurant,,,,,,,,POINT (-73.5638525 45.509629)
Restaurant Tomahawk,"Mo, Su 17:00-21:00; Tu, We 17:00-22:00; Th 11:30-14:30; Th 17:00-22:00; Fr 11:30-14:30; Fr 17:00-23:00; Sa 17:00-23:00",restaurant,,,,,,,,POINT (-73.5484216 45.3869615)
Clinique Dentaire Geneviève Rompré,Lundi: 9h à 20h; Mardi: 9h à 18h; Mercredi: 9h à 20h; Jeudi: 9h à 18h; Vendredi: 9h à 14h30,dentist,,,dentist,,,,,POINT (-73.5590424 45.6123899)
Faema,Mo-Fr 09:00-18:00,,,Réparation_et_vente_machines_à_café,,,,,,POINT (-73.6182683 45.5344703)
Buanderie Lavoir Facile,Mo-Su 08:00-21:00,,,laundry,,,,,,POINT (-73.5851985 45.5277344)
Fleuriste Juliette,"Mo-We 09:00-18:00, Tu-Fr 09:00-21:00, Sa 09:00-17:00",,,florist,,,,,,POINT (-73.83091779999999 45.6393907)
Complexe de l'auto,Mo-Fr 08:00-18:00; Sa 08:00-17:00,,,car_repair,,,,,,POINT (-73.8195278 45.6447576)
Physiothérapie Solution Active Verdun,"Mo, Tu, Th 08:00-20:00; We 07:00-20:00; Fr 07:00-19:30; Sa 08:00-14:00",,,,physiotherapist,,,,,POINT (-73.57610320000001 45.4604454)
Action Ortho Santé,Mo-Fr 08:30-17:30,,,medical_supply,,,,,,POINT (-73.6291351 45.4277)
Brûlerie Balance,"Mo-Fr 08:00-17:00; Sa, Su 09:00-16:00",,,coffee,,,,,,POINT (-73.5776596 45.4631767)
Salon MOOV,"Tu,We 10:00-18:00; Th,Fr 10:00-20:00; Sa 09:00-17:00",,,hairdresser,,,,,,POINT (-73.57798649999999 45.518609)
Globe Location Autos & Camions,Monday-Friday 7:30 AM to 8:30 PM Sat-Sun 8:00 AM to 8:30 PM,car_rental,,,,,,,,POINT (-73.7513111 45.457834)
Taco Tijuana,Tu-Sa 12:30-22:00,restaurant,,,,,,,,POINT (-73.6190457 45.4690855)
Globe Location Autos & Camions,Mo-Fr 07:30-21:00; Sa-Su 08:00-21:00,car_rental,,,,,,,,POINT (-73.5659879 45.4983773)
Globe Location Autos & Camions,"Mo-Fr 07:30-21:00; Sa,Su 08:00-21:00",car_rental,,,,,,,,POINT (-73.5848178 45.4898098)
Dépanneur PRO-CHOIX,"Su-Th 08:00-22:00, Fr-Sa 08:00-23:00",,,convenience,,,,,,POINT (-73.63482430000001 45.4542987)
Moa Moa,Tu-Sa 17:00-22:00; Su 17:00-21:00,restaurant,,,,,,,,POINT (-73.5671387 45.4597702)
La Belle Province,11:00-22:00,fast_food,,,,,,,,POINT (-73.8337787 45.6076056)
Restaurant Le Vieux Terrebonne,Mo-Su 11:00-2:00,restaurant,,,,,,,,POINT (-73.6359396 45.6927522)
BMO,Mo-We 09:00-17:00; Th 09:00-18:00; Fr 09:00-17:00,bank,,,,,,,,POINT (-73.5522986 45.5223454)
Bibliothèque Saul-Bellow,"Mo-Th 10:00-21:00, Fr-Su 10:00-17:00",library,,,,,,,,POINT (-73.6916816 45.4400376)
Espace La Fontaine,Jun 21-Sep 22 Mo-Fr 11:00-sunset; Jun 21-Sep 22  Sa-Su 10:00-sunset,restaurant,,,,,,,,POINT (-73.5694719 45.5252027)
Tim Hortons,24/7,cafe,,,,,,,,POINT (-73.41960570000001 45.458146)
IGA,08:00-22:00,,,supermarket,,,,,,POINT (-73.74593280000001 45.4461857)
Momentum Solutions Vélo,10:00AM to 5:00PM,,,bicycle,,,,,,POINT (-73.61754879999999 45.5394278)
McDonald's,24/7,fast_food,,,,,,,,POINT (-73.61937690000001 45.535565)
Costco,Mo-Fr 10:00-20:30; Sa 09:00-18:00; Su 10:00-17:00,,,wholesale,,,,,,POINT (-73.660516 45.5361903)
MEC Mountain Equipment Co-op,"Mo-We 10:00-19:00; Th,Fr 10:00-21:00; Sa 09:00-17:00; Su 10:00-17:00",,,outdoor,,,,,,POINT (-73.6517484 45.5321976)
Volkswagen Gabriel St-Laurent,"Mo-Th 7:30-21:00, Fr 7:30-18:00, Sa 10:00-16:00",,,car,,,,,,POINT (-73.68614340000001 45.5093225)
Chez Paul,08:00-03:00,pub,,,,,,,,POINT (-73.8516224 45.4954127)
Esso,24/7,fuel,,,,,,,,POINT (-73.7407931 45.4458936)
Ultramar,"Mo-We 06:00-22:00, Tu-Fr 06:00-23:00; Sa 06:00-21:00; Su 08:00-21:00",fuel,,,,,,,,POINT (-73.7402194 45.443639)
McDonald's,24/7,fast_food,,,,,,,,POINT (-73.5785365 45.4807138)
Midi 6,"Mo-Fr 08:00-15:00; Sa,Su 09:00-16:00",restaurant,,,,,,,,POINT (-73.58037229999999 45.47978)
Métro Plus,Mo-Su 08:00-23:00,,,supermarket,,,,,,POINT (-73.55145349999999 45.5240935)
Art Service Dessin Graphique & Imprimerie,Mo-Fr 09:30-18:00;Sa 10:00-14:00,,,copyshop,,,,,,POINT (-73.630819 45.4814623)
IGA Gérard Champagne Ltée,08:00-22:00,,,supermarket,,,,,,POINT (-73.57608190000001 45.4553257)
Salon Johnny - Coiffeur pour Homme,Mo-Sa 07:00-18:00,,,hairdresser,,,,,,POINT (-73.66583110000001 45.5472824)
Jean Coutu,"Mo-Fr 09:00-21:00, Sa-Su 09:00-18:00",pharmacy,,,pharmacy,,,,,POINT (-73.6659125 45.5464099)
The Home Depot,Mo-Fr 08:00-21:00;Sa-Su 08:00-17:00,,,doityourself,,,,,,POINT (-73.6088695 45.5281041)
A&W,Mo-Su 00:00-24:00,fast_food,,,,,,,,POINT (-73.6295198 45.5498716)
Duclos Laval Chrysler,Mo-Fr 09:00-21:00; Saturday: 10:00-17:00; Su off,,,car,,,,,,POINT (-73.7350239 45.56641)
Tim Hortons,24/7,cafe,,,,,,,,POINT (-73.5642517 45.4624064)
Supermarché Métro Plus,Mo-Su 8:00-23:00,,,supermarket,,,,,,POINT (-73.6546044 45.5667303)
SAQ,"Mo 10:00-18:00, Tu-We 10:00-19:00, Th-Fr 9:30-21:00, Sa 9:30-18:00, Su 10:00-17:00",,,alcohol,,,,,,POINT (-73.6543156 45.5671722)
Sushi Shop,Mo-Su 11:00-21:00,restaurant,,,,,,,,POINT (-73.6542634 45.5672693)
La Source,"Mo-We 9:30-18:00, Th-Fr 9:30-21:00, Sa 9:00-17:00, Su 12:00-17:00",,,hifi,,,,,,POINT (-73.6542388 45.5673106)
Reitmans,"Mo-Tu 9:30-18:00, We-Fr 9:30-21:00, Sa 9:00-17:00, Su 10:00-17:00",,,clothes,,,,,,POINT (-73.6542142 45.567354)
,"Mo-Sa 9:00-24:00, Su 9:00-22:00",restaurant,,,,,,,,POINT (-73.6541896 45.5673961)
Salle de quilles Fleury,"Aug 16 - May 15: Mo-Fr 9:00-24:00, Sa 10:00-24:00, Su 9:00-21:00, May 16 - Aug 15: Th-Tu 11:00-18:00, We 11:00-22:00",,,,,bowling_alley,10pin,,,POINT (-73.6541641 45.5674388)
Le Naturiste,"Mo-We 9:30-18:00, Th-Fr 9:30-21:00, Sa 9:00-17:00, Su 12:00-17:00",,,supermarket,,,,,,POINT (-73.6541454 45.5674746)
BMO,"Mo-We 9:00-17:00, Th 9:00-20:00, Fr 9:00-17:00, Sa-Su closed",bank,,,,,,,,POINT (-73.6541168 45.5675228)
Pharmaprix,Mo-Su 9:00-22:00,pharmacy,,,pharmacy,,,,,POINT (-73.6540317 45.5677232)
Chocomax,Mo-Su 08:00-18:00,cafe,,,,,,,,POINT (-73.6789771 45.5119893)
Poubelle du ski,"We 12:00-19:00; Th,Fr 12:00-20:00; Sa,Su 10:00-16:00",,,sports,,,,,,POINT (-73.6341089 45.5394726)
Marché Tradition,"Mo-Fr 7:30-23:00, Sa-Su 8:00-23:00",,,supermarket,,,,,,POINT (-73.6463431 45.5486446)
Marché Bengal,Mo-Sa 12:00-18:00,,,convenience,,,,,,POINT (-73.5682704 45.4792609)
Finitions De Tapis Eclair G L,By appointment only,,,,,,,floorer,,POINT (-73.5221033 45.5653837)
B&H Inc.,24/7,,,,,,,gardener,,POINT (-73.6242747 45.4736495)
Martine Hamel Avocats,Monday-Friday 8AM-4:30PM,,,,,,,,,POINT (-73.50875739999999 45.6599055)
Tim Hortons,05:00-24:00,cafe,,,,,,,,POINT (-73.70367210000001 45.520436)
Arahova Souvlaki,"Su-We 11:00-22:00, Th-Sa 11:00-23:00",restaurant,,,,,,,,POINT (-73.65789030000001 45.4979854)
McDonald's,24/7,fast_food,,,,,,,,POINT (-73.7922222 45.5585897)
